#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="BayesianSkyline" spec="beast.base.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="4" id="popSizes" name="popSizes" spec="beast.base.inference.parameter.RealParameter">0.5 0.5 0.5 0.5</parameter>
#            <groupSizes dimension="4" id="groupSizes" lower="1" spec="beast.base.inference.parameter.IntegerParameter">1 1 1 1</groupSizes>
#            <treeIntervals id="TreeIntervals" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainDistribution" parameter="@popSizes" spec="beast.base.inference.distribution.MarkovChainDistribution"/>
#        <prior id="popSize1.prior" name="distribution">
#            <x arg="@popSizes" id="popSize1" index="0" spec="feast.function.Slice"/>
#            <LogNormal id="popSizeLogNormal" name="distr">
#                <parameter id="popSizeLNMean" name="M" spec="beast.base.inference.parameter.RealParameter">2.35</parameter>
#                <parameter id="popSizeLNStdv" name="S" spec="beast.base.inference.parameter.RealParameter">2.35</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="pi.prior" name="distribution">
#            <parameter dimension="16" id="pi" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25371241506630055 5.713747197661936E-4 9.153709861939678E-4 5.398360967800192E-4 2.4404886834539748E-4 0.24628593291059064 4.4330538285447817E-4 8.829688056736481E-4 2.4404886834539748E-4 2.4404886834539748E-4 0.24631983693030077 6.5318740963152E-4 2.4404886834539748E-4 2.4404886834539748E-4 2.4404886834539748E-4 0.2482114784818358</parameter>
#            <distr id="Dirichlet0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="16" estimate="false" id="RealParameter1" name="alpha" spec="beast.base.inference.parameter.RealParameter">3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0</parameter>
#            </distr>
#        </prior>
#        <prior id="rates.prior" name="distribution">
#            <parameter dimension="6" id="rates" keys="AC AG AT CG CT GT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.021628849808143478 0.021728584159481066 0.4108965964198053 0.010340925301732851 0.2858714546264878 0.24953358968434944</parameter>
#            <distr id="Dirichlet1" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="6" estimate="false" id="RealParameter2" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0 2.0 1.0 1.0 2.0 1.0</parameter>
#            </distr>
#        </prior>
#        <prior id="deltaPrior" name="distribution">
#            <parameter id="error.delta" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Beta id="Beta.delta" name="distr">
#                <parameter estimate="false" id="delta.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="delta.2" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Beta>
#        </prior>
#        <prior id="epsilonPrior" name="distribution">
#            <parameter id="error.epsilon" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.01</parameter>
#            <Beta id="Beta.epsilon" name="distr">
#                <parameter estimate="false" id="epsilon.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="epsilon.2" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Beta>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood" spec="phylonco.beast.evolution.likelihood.BeagleTreeLikelihoodWithError" tree="@Tree" useAmbiguities="true" useTipLikelihoods="true">
#            <errorModel delta="@error.delta" epsilon="@error.epsilon" id="errorModel" spec="phylonco.beast.evolution.errormodel.GT16ErrorModel">
#                <datatype id="datatype" spec="phylonco.beast.evolution.datatype.NucleotideDiploid16"/>
#            </errorModel>
#            <siteModel id="SiteModel" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gt16" nucRates="@rates" spec="phylonco.beast.evolution.substitutionmodel.GT16">
#                    <frequencies frequencies="@pi" id="estimatedFreqs" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="strictClock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter id="clockRate.tumour" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	error.delta	error.epsilon	Tree.height	Tree.treeLength	popSizes.1	popSizes.2	popSizes.3	popSizes.4	groupSizes.1	groupSizes.2	groupSizes.3	groupSizes.4	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	pi.7	pi.8	pi.9	pi.10	pi.11	pi.12	pi.13	pi.14	pi.15	pi.16	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	
100000	-56891.03577720683	-56915.02795760265	23.99218039581838	-56915.02795760265	0.2707979182262006	7.90707571032984E-5	0.09603285914700191	0.4847210380684222	0.3744287157865975	0.1235794140599198	0.06382138573451748	0.011247712512183518	3	2	14	1	0.046309458485172546	4.4402355795627633E-4	0.22052073557735336	0.06856620580475961	0.14899152123032985	0.043233742301766624	0.0010964232701309571	3.7220856984807526E-4	5.473311212420848E-4	0.04542337388527978	0.03920472569382703	0.12057715839625444	7.392806792627764E-4	0.21232203609647501	2.0044377525746355E-4	0.05145133155508427	0.1819791420230693	0.12016509258524627	0.20265286315190617	0.3023470181573846	0.15724077180353324	0.03561511227886046	
110000	-56896.38489235469	-56916.62109000071	20.236197646021257	-56916.62109000071	0.2707979182262006	1.0239131740096052E-4	0.09016443818342623	0.45763457273446057	0.06460457654005587	0.05556475058461158	0.11540766357918492	0.01702642264773788	6	9	4	1	0.04941842634150237	5.459119979188316E-4	0.22048672086197707	0.06587136274737009	0.15321938387864514	0.04226970527100747	0.0023751202166876805	1.791487304833851E-4	6.042665334716956E-4	0.04454093824541528	0.043036349173028135	0.11868224518131948	3.5059610918398976E-4	0.2131592609246334	5.7074590499748E-4	0.04468981788235869	0.16459275664547207	0.10798182025279811	0.222695058810837	0.3160117908403739	0.16282708416492112	0.02589148928559787	
120000	-56902.1607242505	-56917.72420057505	15.563476324552244	-56917.72420057505	0.2707979182262006	4.315966203480343E-6	0.08973424983440106	0.4746117515522566	0.8857918912990737	0.1452836277861834	0.08786582594200498	0.05447887060174916	1	6	10	3	0.04966651462893584	1.553650448104264E-4	0.21820676364055797	0.06452356476145424	0.15339983991934622	0.04200850951075289	2.6720571657012145E-4	9.486468124673552E-4	2.0901118571028243E-4	0.04045413626994851	0.044279137493686394	0.12307947151021362	5.609369428357764E-4	0.21652925141572332	7.438547186312073E-4	0.04496779042835604	0.128253282593198	0.10579897873817685	0.2256949986857266	0.3548014667966737	0.1605274776900417	0.024923795496183267	
130000	-56894.33592187383	-56915.58120990905	21.24528803521179	-56915.58120990905	0.2707979182262006	1.1261886422766263E-4	0.0922345927997827	0.4632223061670521	0.5768258763094897	0.2469472228022079	0.0731977525457144	0.08753787143462034	1	3	9	7	0.04862717749641723	7.893736653486656E-4	0.21966264306394928	0.06743022518178293	0.15284970532276304	0.03892251236218147	5.366713079565219E-4	5.926662833319605E-4	3.7686678937491613E-4	0.04606814339607497	0.04152505578895868	0.12547801353133817	7.762729715293599E-4	0.20550498821153396	4.781412943137425E-4	0.05038154333314527	0.18579225325873777	0.10560690323240263	0.1885952672971521	0.3542780637711918	0.14080371694433244	0.024923795496183267	
140000	-56890.399131500686	-56906.92448642414	16.525354923456298	-56906.92448642414	0.26929801677828313	1.3127292574998515E-5	0.09727556556289399	0.4793588469566089	0.6851352909546177	0.07265186918208781	0.11215663332931235	0.04281749116218948	2	7	1	10	0.04567334699209823	1.987050186358803E-4	0.22169414956587138	0.07333981424124779	0.1512245432774374	0.04369305046774468	8.594029549090845E-4	2.4905136077606356E-4	4.381529373662927E-4	0.04286209507549868	0.04076189380335594	0.12974095490333148	3.751331695850967E-4	0.20218407828567533	1.5046656054613087E-4	0.04655516138592061	0.15935813224244805	0.11124675580157603	0.22572633432250902	0.3230931567912356	0.15998564210056773	0.020589978741663555	
150000	-56900.966182583936	-56922.62147387827	21.655291294336955	-56922.62147387827	0.26929801677828313	2.6226902356525116E-5	0.09066853082026989	0.5001821697517725	0.542768785448119	0.2342105675213496	0.053308639366133066	0.08152873701277791	2	6	3	9	0.05099853212015423	4.0939389865024924E-4	0.22062702554218377	0.07336598055589659	0.1449942809131979	0.043300332331793874	0.0014320344598729349	4.4822709933405416E-4	0.0015009998557613566	0.046272738026047575	0.03911282251129758	0.12973111107694013	0.0015041511600484567	0.1999074845574112	1.6031038693747483E-4	0.04623457550447274	0.22178972906590305	0.12161159382055675	0.17901189867656322	0.2879091118170426	0.16313026468536385	0.02654740193457059	
160000	-56897.273010950594	-56915.29665269097	18.023641740375798	-56915.29665269097	0.26871767588896767	8.25430529805729E-5	0.08118646392439202	0.48677799372420133	0.5704852548448147	0.17272480324374645	0.04992349276277979	0.07374617287060063	4	6	5	5	0.0484396729152815	3.9141813214225253E-4	0.22388683413175076	0.06846853321266665	0.14580553446229058	0.04160119880434963	0.0014407127679800197	6.70175380826935E-4	1.936659702686905E-4	0.04492758460705955	0.04218496900171484	0.12605772501591503	5.948036109048478E-4	0.21257278664740062	5.08431264751456E-4	0.04225595407469683	0.17254858592535047	0.10308442290943802	0.17420421091272176	0.372706502768309	0.15390523481235774	0.02355104267182306	
170000	-56888.30737535509	-56901.87865767775	13.571282322656932	-56901.87865767775	0.26871767588896767	2.480575841098893E-4	0.09923627460166734	0.4910155314558605	0.28843192233150605	0.034207320780790654	0.052248147143544116	0.03639587569404609	2	7	5	6	0.048602060175330974	5.24734519779808E-4	0.21903077801858808	0.06952240241500536	0.148531908247705	0.04628838452999484	3.6692510030407406E-4	1.5723602586230744E-4	2.4357537559603713E-4	0.04453341467521707	0.04126461930468792	0.12072652115677385	1.483656662247401E-4	0.21308572600236525	2.6387393150258283E-4	0.04670947485506224	0.199024238627215	0.10958410301649273	0.19487410746009765	0.29730244296061753	0.16623594741443887	0.03297916052113843	
180000	-56879.88458618953	-56913.25648150984	33.3718953203082	-56913.25648150984	0.26871767588896767	2.104446447201634E-4	0.08620270230330139	0.42758726437207045	0.36624748355176195	0.057163058772715866	0.025607914716385776	0.0426413905723258	1	5	2	12	0.04679543252286754	3.175914154868707E-4	0.21524241920452744	0.07076243153062216	0.15626077459219545	0.0449399554716019	9.116089390154166E-4	4.950544617352111E-4	7.435204474660857E-4	0.042560163271569335	0.04001937643915733	0.12440969706586456	4.2431432926713685E-4	0.20937171633425875	6.859842266349986E-4	0.0460599597477299	0.19254199467736402	0.10548017248503745	0.22291887368607158	0.2833194208435189	0.16947547314023614	0.026264065167772174	
190000	-56889.30618466549	-56913.09650658504	23.790321919547477	-56913.09650658504	0.26871767588896767	1.1425521796950652E-4	0.10447945042770933	0.5164695744135915	0.6716892355329783	0.04627252585678974	0.052849298818142744	0.0426413905723258	1	5	2	12	0.048274901014534695	6.366992260467316E-4	0.21902668828635913	0.07232142734850208	0.1454292830456683	0.04479667357569608	6.378089627514125E-4	3.6495750249223755E-4	2.1087027430820714E-4	0.04283565815143798	0.044344110919453054	0.1246004587012972	8.720626133203505E-4	0.20703318001511575	6.263602827746363E-4	0.04798886008024223	0.18013366212672693	0.1062369246374005	0.2237184501907873	0.29274503100405674	0.17521177570325724	0.021954156337771532	
200000	-56891.272200759726	-56907.0630901222	15.79088936247518	-56907.0630901222	0.2681410592892505	6.342187563768103E-5	0.10254496437314974	0.487033741718678	1.0568153847810144	0.22310548291022358	0.047246344121247515	0.019887692856651772	1	8	10	1	0.047886612210735265	2.653231370384929E-4	0.22405744528606772	0.07173002407585782	0.1466350704720728	0.046036273745293496	6.895969895520332E-4	4.392374460911858E-4	9.071079282502989E-5	0.043168785408349605	0.04299481633402969	0.12821721966918354	7.996123459941744E-4	0.20182729714460976	3.7295689786195267E-4	0.04478901804443757	0.1912287342421496	0.10518450042032959	0.23469277754011264	0.2744886060409651	0.17244466782675413	0.021960713929689128	
210000	-56893.91748501123	-56907.5301927608	13.612707749567157	-56907.5301927608	0.26797830956299223	4.457778738790562E-5	0.09758894055848322	0.49706621087502684	2.578204179547127	0.15201220203085478	0.04190261499065738	0.08993064987233745	1	3	7	9	0.04935263410075608	2.653231370384929E-4	0.21705267645860052	0.06611974811076063	0.14550553571267505	0.04883266934957755	4.251566030959681E-4	2.0629733342609796E-4	9.772422711361279E-5	0.04656223286315756	0.039822871320108616	0.12389139230531054	7.768310379221724E-4	0.21079971405809703	4.1454602740239775E-4	0.04987464735495775	0.1725226558875432	0.11423868539634131	0.18528272978426993	0.3333298705060084	0.17432342372672452	0.02030263469911278	
220000	-56887.940127190624	-56918.208249445765	30.268122255140582	-56918.208249445765	0.2683348664600715	4.924430193974358E-5	0.10048990689064144	0.47376527797198265	0.6234940378874455	0.031366316958822034	0.08213119843365245	0.07734604008124032	1	7	11	1	0.05071727114953708	4.179194677789017E-4	0.2215670990380555	0.06777792403662515	0.14181248836492674	0.04508957233206573	0.0019481970951568865	6.87278744111406E-4	6.433067470938029E-4	0.04156767023508735	0.036561560692129194	0.1267529183894098	3.284056725910983E-4	0.21241716102197233	2.5204828682681235E-4	0.05145917872663232	0.209109732974098	0.11812787235002437	0.19949497752679551	0.27698812115624494	0.17057912850031634	0.025700167492520836	
